FECHA;VENTAS;CIUDAD;TOTAL_VENTA
10/06/2024;170;BARRANQUILLA;42.500,00 €
07/02/2024;954;SAN ANDRES;238.500,00 €
19/01/2024;211;BOGOTA;52.750,00 €
13/01/2024;740;ARMENIA;185.000,00 €
01/04/2024;994;SANTANDER;248.500,00 €
14/07/2024;762;CUCUTA;190.500,00 €
17/07/2024;60;NARIÑO;15.000,00 €
07/06/2024;480;PUTUMUYO;120.000,00 €
08/02/2024;578;BOGOTA;144.500,00 €
11/03/2024;522;IBAGUE;130.500,00 €
27/07/2024;708;PEREIRA;177.000,00 €
25/02/2024;562;MANIZALES;140.500,00 €
13/06/2024;62;ARMENIA;15.500,00 €
01/03/2024;214;ALEMANIA;53.500,00 €
31/01/2024;403;SUIZA;100.750,00 €
24/02/2024;601;ESPAÑA;150.250,00 €
23/06/2024;30;CALI;7.500,00 €
22/05/2024;733;BARRANQUILLA;183.250,00 €
09/01/2024;688;SAN ANDRES;172.000,00 €
21/01/2024;386;BOGOTA;96.500,00 €
15/01/2024;510;ARMENIA;127.500,00 €
06/03/2024;617;SANTANDER;154.250,00 €
05/08/2024;389;CUCUTA;97.250,00 €
15/07/2024;204;NARIÑO;51.000,00 €
13/04/2024;652;PUTUMUYO;163.000,00 €
06/04/2024;506;BOGOTA;126.500,00 €
05/06/2024;456;IBAGUE;114.000,00 €
06/08/2024;787;PEREIRA;196.750,00 €
22/08/2024;923;MANIZALES;230.750,00 €
14/03/2024;725;ARMENIA;181.250,00 €
29/02/2024;343;ALEMANIA;85.750,00 €
23/07/2024;86;SUIZA;21.500,00 €
26/07/2024;668;ESPAÑA;167.000,00 €
19/06/2024;298;CALI;74.500,00 €
08/07/2024;851;BARRANQUILLA;212.750,00 €
17/05/2024;622;SAN ANDRES;155.500,00 €
01/08/2024;163;BOGOTA;40.750,00 €
24/05/2024;582;ARMENIA;145.500,00 €
12/05/2024;56;SANTANDER;14.000,00 €
26/08/2024;318;CUCUTA;79.500,00 €
21/02/2024;913;NARIÑO;228.250,00 €
25/06/2024;980;PUTUMUYO;245.000,00 €
16/07/2024;612;BOGOTA;153.000,00 €
18/07/2024;159;IBAGUE;39.750,00 €
26/08/2024;706;PEREIRA;176.500,00 €
12/04/2024;116;MANIZALES;29.000,00 €
02/02/2024;418;ARMENIA;104.500,00 €
28/07/2024;190;ALEMANIA;47.500,00 €
02/02/2024;961;SUIZA;240.250,00 €
26/04/2024;90;ESPAÑA;22.500,00 €
12/01/2024;270;CALI;67.500,00 €
04/04/2024;49;BARRANQUILLA;12.250,00 €
01/01/2024;671;SAN ANDRES;167.750,00 €
07/06/2024;134;BOGOTA;33.500,00 €
10/03/2024;989;ARMENIA;247.250,00 €
08/01/2024;655;SANTANDER;163.750,00 €
07/02/2024;470;CUCUTA;117.500,00 €
09/02/2024;52;NARIÑO;13.000,00 €
27/02/2024;251;PUTUMUYO;62.750,00 €
19/06/2024;783;BOGOTA;195.750,00 €
03/02/2024;821;IBAGUE;205.250,00 €
18/06/2024;393;PEREIRA;98.250,00 €
27/04/2024;636;MANIZALES;159.000,00 €
06/05/2024;943;ARMENIA;235.750,00 €
04/02/2024;269;ALEMANIA;67.250,00 €
14/04/2024;907;SUIZA;226.750,00 €
07/03/2024;36;ESPAÑA;9.000,00 €
13/02/2024;161;CALI;40.250,00 €
11/05/2024;189;BARRANQUILLA;47.250,00 €
11/08/2024;116;SAN ANDRES;29.000,00 €
08/06/2024;946;BOGOTA;236.500,00 €
06/08/2024;887;ARMENIA;221.750,00 €
21/04/2024;76;SANTANDER;19.000,00 €
28/02/2024;90;CUCUTA;22.500,00 €
04/01/2024;732;NARIÑO;183.000,00 €
09/03/2024;298;PUTUMUYO;74.500,00 €
06/05/2024;918;BOGOTA;229.500,00 €
18/05/2024;32;IBAGUE;8.000,00 €
23/06/2024;514;PEREIRA;128.500,00 €
26/04/2024;839;MANIZALES;209.750,00 €
13/06/2024;41;ARMENIA;10.250,00 €
26/06/2024;447;ALEMANIA;111.750,00 €
10/03/2024;605;SUIZA;151.250,00 €
20/03/2024;297;ESPAÑA;74.250,00 €
17/08/2024;875;CALI;218.750,00 €
05/03/2024;885;BARRANQUILLA;221.250,00 €
06/01/2024;103;SAN ANDRES;25.750,00 €
08/08/2024;953;BOGOTA;238.250,00 €
03/03/2024;417;ARMENIA;104.250,00 €
21/03/2024;113;SANTANDER;28.250,00 €
02/07/2024;969;CUCUTA;242.250,00 €
28/08/2024;765;NARIÑO;191.250,00 €
17/07/2024;720;PUTUMUYO;180.000,00 €
30/04/2024;973;BOGOTA;243.250,00 €
27/04/2024;310;IBAGUE;77.500,00 €
27/01/2024;698;PEREIRA;174.500,00 €
30/04/2024;724;MANIZALES;181.000,00 €
26/06/2024;76;ARMENIA;19.000,00 €
06/06/2024;787;ALEMANIA;196.750,00 €
24/03/2024;872;SUIZA;218.000,00 €
23/05/2024;542;ESPAÑA;135.500,00 €
27/05/2024;108;CALI;27.000,00 €
03/04/2024;492;BARRANQUILLA;123.000,00 €
07/08/2024;677;SAN ANDRES;169.250,00 €
27/05/2024;649;BOGOTA;162.250,00 €
31/08/2024;929;ARMENIA;232.250,00 €
25/05/2024;76;SANTANDER;19.000,00 €
27/02/2024;105;CUCUTA;26.250,00 €
13/08/2024;242;NARIÑO;60.500,00 €
02/06/2024;423;PUTUMUYO;105.750,00 €
03/06/2024;514;BOGOTA;128.500,00 €
20/08/2024;162;IBAGUE;40.500,00 €
04/02/2024;377;PEREIRA;94.250,00 €
29/05/2024;258;MANIZALES;64.500,00 €
14/04/2024;973;ARMENIA;243.250,00 €
21/05/2024;564;ALEMANIA;141.000,00 €
12/07/2024;164;SUIZA;41.000,00 €
21/03/2024;485;ESPAÑA;121.250,00 €
26/03/2024;120;CALI;30.000,00 €
24/03/2024;468;BARRANQUILLA;117.000,00 €
26/06/2024;634;SAN ANDRES;158.500,00 €
06/04/2024;407;BOGOTA;101.750,00 €
17/02/2024;344;ARMENIA;86.000,00 €
09/06/2024;429;SANTANDER;107.250,00 €
26/07/2024;151;CUCUTA;37.750,00 €
08/08/2024;950;NARIÑO;237.500,00 €
15/02/2024;316;PUTUMUYO;79.000,00 €
03/03/2024;824;BOGOTA;206.000,00 €
28/06/2024;870;IBAGUE;217.500,00 €
15/06/2024;344;PEREIRA;86.000,00 €
30/07/2024;600;MANIZALES;150.000,00 €
16/06/2024;216;ARMENIA;54.000,00 €
25/06/2024;940;ALEMANIA;235.000,00 €
26/07/2024;545;SUIZA;136.250,00 €
21/03/2024;605;ESPAÑA;151.250,00 €
09/01/2024;205;CALI;51.250,00 €
11/01/2024;100;BARRANQUILLA;25.000,00 €
30/06/2024;194;SAN ANDRES;48.500,00 €
16/07/2024;520;BOGOTA;130.000,00 €
16/08/2024;17;ARMENIA;4.250,00 €
24/05/2024;515;SANTANDER;128.750,00 €
18/06/2024;705;CUCUTA;176.250,00 €
17/02/2024;513;NARIÑO;128.250,00 €
28/03/2024;843;PUTUMUYO;210.750,00 €
17/08/2024;328;BOGOTA;82.000,00 €
25/05/2024;318;IBAGUE;79.500,00 €
26/04/2024;791;PEREIRA;197.750,00 €
08/05/2024;835;MANIZALES;208.750,00 €
06/07/2024;573;ARMENIA;143.250,00 €
16/07/2024;148;ALEMANIA;37.000,00 €
15/06/2024;356;SUIZA;89.000,00 €
07/02/2024;606;ESPAÑA;151.500,00 €
21/04/2024;176;CALI;44.000,00 €
19/01/2024;657;BARRANQUILLA;164.250,00 €
17/03/2024;385;SAN ANDRES;96.250,00 €
22/03/2024;459;BOGOTA;114.750,00 €
13/01/2024;885;ARMENIA;221.250,00 €
17/06/2024;171;SANTANDER;42.750,00 €
06/06/2024;126;CUCUTA;31.500,00 €
09/08/2024;483;NARIÑO;120.750,00 €
17/05/2024;334;PUTUMUYO;83.500,00 €
31/07/2024;187;BOGOTA;46.750,00 €
20/06/2024;484;IBAGUE;121.000,00 €
29/05/2024;326;PEREIRA;81.500,00 €
20/08/2024;511;MANIZALES;127.750,00 €
30/04/2024;847;ARMENIA;211.750,00 €
19/04/2024;565;ALEMANIA;141.250,00 €
10/03/2024;666;SUIZA;166.500,00 €
02/01/2024;370;ESPAÑA;92.500,00 €
29/04/2024;982;CALI;245.500,00 €
21/07/2024;951;BARRANQUILLA;237.750,00 €
29/02/2024;104;SAN ANDRES;26.000,00 €
02/06/2024;183;BOGOTA;45.750,00 €
08/02/2024;677;ARMENIA;169.250,00 €
18/07/2024;126;SANTANDER;31.500,00 €
26/05/2024;209;CUCUTA;52.250,00 €
14/05/2024;857;NARIÑO;214.250,00 €
02/02/2024;74;PUTUMUYO;18.500,00 €
08/03/2024;343;BOGOTA;85.750,00 €
19/08/2024;341;IBAGUE;85.250,00 €
05/03/2024;33;PEREIRA;8.250,00 €
17/08/2024;134;MANIZALES;33.500,00 €
30/03/2024;266;ARMENIA;66.500,00 €
24/03/2024;410;ALEMANIA;102.500,00 €
02/02/2024;597;SUIZA;149.250,00 €
06/05/2024;650;ESPAÑA;162.500,00 €
18/06/2024;94;CALI;23.500,00 €
17/01/2024;985;BARRANQUILLA;246.250,00 €
08/01/2024;412;SAN ANDRES;103.000,00 €
05/07/2024;853;BOGOTA;213.250,00 €
24/03/2024;370;ARMENIA;92.500,00 €
21/02/2024;985;SANTANDER;246.250,00 €
15/03/2024;700;CUCUTA;175.000,00 €
17/04/2024;307;NARIÑO;76.750,00 €
15/05/2024;384;PUTUMUYO;96.000,00 €
16/07/2024;775;BOGOTA;193.750,00 €
11/04/2024;355;IBAGUE;88.750,00 €
05/05/2024;620;PEREIRA;155.000,00 €
03/06/2024;765;MANIZALES;191.250,00 €
23/07/2024;928;ARMENIA;232.000,00 €
04/07/2024;781;ALEMANIA;195.250,00 €
16/03/2024;338;SUIZA;84.500,00 €
17/07/2024;60;ESPAÑA;15.000,00 €
16/05/2024;542;CALI;135.500,00 €
13/04/2024;796;BARRANQUILLA;199.000,00 €
26/03/2024;332;SAN ANDRES;83.000,00 €
14/06/2024;102;BOGOTA;25.500,00 €
23/04/2024;969;ARMENIA;242.250,00 €
23/06/2024;550;SANTANDER;137.500,00 €
03/07/2024;826;CUCUTA;206.500,00 €
29/01/2024;884;NARIÑO;221.000,00 €
02/08/2024;405;PUTUMUYO;101.250,00 €
10/08/2024;882;BOGOTA;220.500,00 €
04/01/2024;657;IBAGUE;164.250,00 €
04/01/2024;648;PEREIRA;162.000,00 €
27/03/2024;558;MANIZALES;139.500,00 €
11/07/2024;455;ARMENIA;113.750,00 €
02/06/2024;485;ALEMANIA;121.250,00 €
13/08/2024;31;SUIZA;7.750,00 €
26/05/2024;458;ESPAÑA;114.500,00 €
05/02/2024;459;CALI;114.750,00 €
31/08/2024;688;BARRANQUILLA;172.000,00 €
06/02/2024;386;SAN ANDRES;96.500,00 €
26/08/2024;673;BOGOTA;168.250,00 €
17/06/2024;460;ARMENIA;115.000,00 €
22/03/2024;902;SANTANDER;225.500,00 €
26/06/2024;505;CUCUTA;126.250,00 €
15/01/2024;604;NARIÑO;151.000,00 €
02/06/2024;193;PUTUMUYO;48.250,00 €
17/02/2024;413;BOGOTA;103.250,00 €
17/04/2024;198;IBAGUE;49.500,00 €
16/07/2024;649;PEREIRA;162.250,00 €
28/03/2024;888;MANIZALES;222.000,00 €
23/05/2024;234;ARMENIA;58.500,00 €
11/07/2024;55;ALEMANIA;13.750,00 €
30/05/2024;194;SUIZA;48.500,00 €
11/04/2024;921;ESPAÑA;230.250,00 €
12/06/2024;263;CALI;65.750,00 €
25/02/2024;746;BARRANQUILLA;186.500,00 €
14/06/2024;588;SAN ANDRES;147.000,00 €
22/04/2024;570;BOGOTA;142.500,00 €
19/03/2024;601;ARMENIA;150.250,00 €
24/03/2024;405;SANTANDER;101.250,00 €
05/04/2024;780;CUCUTA;195.000,00 €
10/02/2024;365;NARIÑO;91.250,00 €
28/03/2024;632;PUTUMUYO;158.000,00 €
26/06/2024;681;BOGOTA;170.250,00 €
15/03/2024;175;IBAGUE;43.750,00 €
31/05/2024;90;PEREIRA;22.500,00 €
28/03/2024;405;MANIZALES;101.250,00 €
26/01/2024;701;ARMENIA;175.250,00 €
21/08/2024;662;ALEMANIA;165.500,00 €
13/03/2024;462;SUIZA;115.500,00 €
21/01/2024;669;ESPAÑA;167.250,00 €
24/01/2024;508;CALI;127.000,00 €
16/06/2024;795;BARRANQUILLA;198.750,00 €
03/03/2024;949;SAN ANDRES;237.250,00 €
31/07/2024;259;BOGOTA;64.750,00 €
20/04/2024;207;ARMENIA;51.750,00 €
31/08/2024;400;SANTANDER;100.000,00 €
15/08/2024;770;CUCUTA;192.500,00 €
19/05/2024;209;NARIÑO;52.250,00 €
08/03/2024;24;PUTUMUYO;6.000,00 €
02/03/2024;843;BOGOTA;210.750,00 €
09/06/2024;21;IBAGUE;5.250,00 €
28/08/2024;528;PEREIRA;132.000,00 €
14/07/2024;118;MANIZALES;29.500,00 €
04/05/2024;916;ARMENIA;229.000,00 €
29/04/2024;155;ALEMANIA;38.750,00 €
26/04/2024;426;SUIZA;106.500,00 €
07/07/2024;225;ESPAÑA;56.250,00 €
01/01/2024;367;CALI;91.750,00 €
07/06/2024;366;BARRANQUILLA;91.500,00 €
22/02/2024;525;SAN ANDRES;131.250,00 €
24/06/2024;147;BOGOTA;36.750,00 €
16/04/2024;753;ARMENIA;188.250,00 €
13/04/2024;170;SANTANDER;42.500,00 €
07/04/2024;733;CUCUTA;183.250,00 €
01/03/2024;587;NARIÑO;146.750,00 €
01/01/2024;949;PUTUMUYO;237.250,00 €
28/08/2024;970;BOGOTA;242.500,00 €
15/01/2024;325;IBAGUE;81.250,00 €
24/03/2024;647;PEREIRA;161.750,00 €
02/04/2024;760;MANIZALES;190.000,00 €
04/04/2024;134;ARMENIA;33.500,00 €
25/07/2024;401;ALEMANIA;100.250,00 €
08/01/2024;52;SUIZA;13.000,00 €
29/02/2024;4;ESPAÑA;1.000,00 €
20/02/2024;204;CALI;51.000,00 €
17/04/2024;664;BARRANQUILLA;166.000,00 €
31/05/2024;723;SAN ANDRES;180.750,00 €
17/02/2024;722;BOGOTA;180.500,00 €
25/05/2024;336;ARMENIA;84.000,00 €
28/03/2024;970;SANTANDER;242.500,00 €
20/03/2024;429;CUCUTA;107.250,00 €
19/07/2024;979;NARIÑO;244.750,00 €
14/04/2024;475;PUTUMUYO;118.750,00 €
31/03/2024;421;BOGOTA;105.250,00 €
11/06/2024;748;IBAGUE;187.000,00 €
23/07/2024;4;PEREIRA;1.000,00 €
02/07/2024;897;MANIZALES;224.250,00 €
26/01/2024;763;ARMENIA;190.750,00 €
21/08/2024;995;ALEMANIA;248.750,00 €
20/01/2024;629;SUIZA;157.250,00 €
04/08/2024;88;ESPAÑA;22.000,00 €
29/07/2024;203;CALI;50.750,00 €
25/02/2024;973;BARRANQUILLA;243.250,00 €
30/01/2024;88;SAN ANDRES;22.000,00 €
04/01/2024;30;BOGOTA;7.500,00 €
16/04/2024;492;ARMENIA;123.000,00 €
18/08/2024;445;SANTANDER;111.250,00 €
03/05/2024;551;CUCUTA;137.750,00 €
31/01/2024;101;NARIÑO;25.250,00 €
28/07/2024;312;PUTUMUYO;78.000,00 €
07/06/2024;753;BOGOTA;188.250,00 €
18/06/2024;83;IBAGUE;20.750,00 €
21/07/2024;369;PEREIRA;92.250,00 €
12/08/2024;807;MANIZALES;201.750,00 €
27/08/2024;639;ARMENIA;159.750,00 €
20/07/2024;236;ALEMANIA;59.000,00 €
30/01/2024;828;SUIZA;207.000,00 €
01/05/2024;416;ESPAÑA;104.000,00 €
10/06/2024;638;CALI;159.500,00 €
29/02/2024;128;BARRANQUILLA;32.000,00 €
04/07/2024;229;SAN ANDRES;57.250,00 €
09/02/2024;790;BOGOTA;197.500,00 €
20/08/2024;501;ARMENIA;125.250,00 €
09/02/2024;721;SANTANDER;180.250,00 €
02/08/2024;72;CUCUTA;18.000,00 €
19/01/2024;537;NARIÑO;134.250,00 €
12/05/2024;176;PUTUMUYO;44.000,00 €
07/05/2024;61;BOGOTA;15.250,00 €
17/02/2024;369;IBAGUE;92.250,00 €
05/07/2024;852;PEREIRA;213.000,00 €
27/07/2024;10;MANIZALES;2.500,00 €
15/04/2024;347;ARMENIA;86.750,00 €
06/05/2024;190;ALEMANIA;47.500,00 €
16/03/2024;774;SUIZA;193.500,00 €
25/05/2024;711;ESPAÑA;177.750,00 €
21/02/2024;159;CALI;39.750,00 €
04/08/2024;178;BARRANQUILLA;44.500,00 €
19/05/2024;771;SAN ANDRES;192.750,00 €
27/05/2024;928;BOGOTA;232.000,00 €
08/07/2024;747;ARMENIA;186.750,00 €
16/07/2024;157;SANTANDER;39.250,00 €
24/01/2024;694;CUCUTA;173.500,00 €
15/06/2024;138;NARIÑO;34.500,00 €
14/01/2024;677;PUTUMUYO;169.250,00 €
14/01/2024;25;BOGOTA;6.250,00 €
18/08/2024;610;IBAGUE;152.500,00 €
17/03/2024;87;PEREIRA;21.750,00 €
14/06/2024;691;MANIZALES;172.750,00 €
13/03/2024;887;ARMENIA;221.750,00 €
18/04/2024;285;ALEMANIA;71.250,00 €
13/07/2024;266;SUIZA;66.500,00 €
16/05/2024;474;ESPAÑA;118.500,00 €
19/07/2024;733;CALI;183.250,00 €
23/01/2024;325;BARRANQUILLA;81.250,00 €
16/06/2024;333;SAN ANDRES;83.250,00 €
06/05/2024;602;BOGOTA;150.500,00 €
10/08/2024;420;ARMENIA;105.000,00 €
02/01/2024;496;SANTANDER;124.000,00 €
20/06/2024;725;CUCUTA;181.250,00 €
02/01/2024;580;NARIÑO;145.000,00 €
08/04/2024;101;PUTUMUYO;25.250,00 €
16/04/2024;467;BOGOTA;116.750,00 €
09/04/2024;7;IBAGUE;1.750,00 €
27/03/2024;341;PEREIRA;85.250,00 €
01/02/2024;199;MANIZALES;49.750,00 €
12/07/2024;516;ARMENIA;129.000,00 €
20/07/2024;659;ALEMANIA;164.750,00 €
18/04/2024;604;SUIZA;151.000,00 €
08/03/2024;396;ESPAÑA;99.000,00 €
22/03/2024;41;CALI;10.250,00 €
21/04/2024;965;BARRANQUILLA;241.250,00 €
18/04/2024;844;SAN ANDRES;211.000,00 €
26/02/2024;147;BOGOTA;36.750,00 €
25/03/2024;881;ARMENIA;220.250,00 €
29/03/2024;478;SANTANDER;119.500,00 €
26/05/2024;854;CUCUTA;213.500,00 €
09/06/2024;749;NARIÑO;187.250,00 €
12/02/2024;400;PUTUMUYO;100.000,00 €
07/04/2024;114;BOGOTA;28.500,00 €
08/08/2024;325;IBAGUE;81.250,00 €
13/04/2024;49;PEREIRA;12.250,00 €
11/07/2024;493;MANIZALES;123.250,00 €
27/03/2024;40;ARMENIA;10.000,00 €
06/03/2024;55;ALEMANIA;13.750,00 €
05/01/2024;293;SUIZA;73.250,00 €
18/03/2024;513;ESPAÑA;128.250,00 €
26/07/2024;355;CALI;88.750,00 €
25/04/2024;886;BARRANQUILLA;221.500,00 €
28/03/2024;260;SAN ANDRES;65.000,00 €
30/04/2024;920;BOGOTA;230.000,00 €
16/04/2024;794;ARMENIA;198.500,00 €
26/02/2024;434;SANTANDER;108.500,00 €
05/07/2024;171;CUCUTA;42.750,00 €
16/04/2024;77;NARIÑO;19.250,00 €
09/04/2024;543;PUTUMUYO;135.750,00 €
25/01/2024;59;BOGOTA;14.750,00 €
16/05/2024;342;IBAGUE;85.500,00 €
30/01/2024;909;PEREIRA;227.250,00 €
07/07/2024;295;MANIZALES;73.750,00 €
16/02/2024;835;ARMENIA;208.750,00 €
05/05/2024;884;ALEMANIA;221.000,00 €
16/08/2024;540;SUIZA;135.000,00 €
23/05/2024;862;ESPAÑA;215.500,00 €
02/07/2024;476;CALI;119.000,00 €
22/04/2024;926;BARRANQUILLA;231.500,00 €
16/03/2024;654;SAN ANDRES;163.500,00 €
27/02/2024;378;BOGOTA;94.500,00 €
25/05/2024;266;ARMENIA;66.500,00 €
17/06/2024;590;SANTANDER;147.500,00 €
19/04/2024;352;CUCUTA;88.000,00 €
27/01/2024;401;NARIÑO;100.250,00 €
18/01/2024;737;PUTUMUYO;184.250,00 €
15/07/2024;430;BOGOTA;107.500,00 €
28/03/2024;6;IBAGUE;1.500,00 €
17/06/2024;789;PEREIRA;197.250,00 €
20/05/2024;224;MANIZALES;56.000,00 €
21/01/2024;515;ARMENIA;128.750,00 €
24/05/2024;974;ALEMANIA;243.500,00 €
25/07/2024;682;SUIZA;170.500,00 €
25/05/2024;644;ESPAÑA;161.000,00 €
12/05/2024;223;CALI;55.750,00 €
01/08/2024;161;BARRANQUILLA;40.250,00 €
28/07/2024;102;SAN ANDRES;25.500,00 €
20/04/2024;500;BOGOTA;125.000,00 €
26/06/2024;973;ARMENIA;243.250,00 €
02/05/2024;392;SANTANDER;98.000,00 €
13/05/2024;101;CUCUTA;25.250,00 €
28/07/2024;362;NARIÑO;90.500,00 €
16/02/2024;180;PUTUMUYO;45.000,00 €
09/05/2024;384;BOGOTA;96.000,00 €
18/05/2024;707;IBAGUE;176.750,00 €
27/02/2024;965;PEREIRA;241.250,00 €
23/08/2024;636;MANIZALES;159.000,00 €
11/08/2024;901;ARMENIA;225.250,00 €
24/07/2024;442;ALEMANIA;110.500,00 €
03/01/2024;978;SUIZA;244.500,00 €
10/08/2024;404;ESPAÑA;101.000,00 €
03/04/2024;553;CALI;138.250,00 €
03/08/2024;320;BARRANQUILLA;80.000,00 €
25/06/2024;220;SAN ANDRES;55.000,00 €
19/02/2024;304;BOGOTA;76.000,00 €
30/05/2024;262;ARMENIA;65.500,00 €
26/06/2024;604;SANTANDER;151.000,00 €
14/02/2024;249;CUCUTA;62.250,00 €
27/07/2024;555;NARIÑO;138.750,00 €
08/04/2024;576;PUTUMUYO;144.000,00 €
23/03/2024;582;BOGOTA;145.500,00 €
19/02/2024;601;IBAGUE;150.250,00 €
31/08/2024;998;PEREIRA;249.500,00 €
28/01/2024;761;MANIZALES;190.250,00 €
14/02/2024;758;ARMENIA;189.500,00 €
16/07/2024;203;ALEMANIA;50.750,00 €
01/02/2024;839;SUIZA;209.750,00 €
16/04/2024;369;ESPAÑA;92.250,00 €
25/05/2024;367;CALI;91.750,00 €
25/01/2024;897;BARRANQUILLA;224.250,00 €
01/06/2024;588;SAN ANDRES;147.000,00 €
09/03/2024;196;BOGOTA;49.000,00 €
31/08/2024;852;ARMENIA;213.000,00 €
15/01/2024;614;SANTANDER;153.500,00 €
22/06/2024;753;CUCUTA;188.250,00 €
10/04/2024;159;NARIÑO;39.750,00 €
26/05/2024;809;PUTUMUYO;202.250,00 €
09/08/2024;166;BOGOTA;41.500,00 €
02/05/2024;624;IBAGUE;156.000,00 €
10/02/2024;314;PEREIRA;78.500,00 €
12/02/2024;849;MANIZALES;212.250,00 €
03/08/2024;14;ARMENIA;3.500,00 €
26/02/2024;524;ALEMANIA;131.000,00 €
25/03/2024;50;SUIZA;12.500,00 €
25/02/2024;677;ESPAÑA;169.250,00 €
08/02/2024;850;CALI;212.500,00 €
14/01/2024;88;BARRANQUILLA;22.000,00 €
28/06/2024;709;SAN ANDRES;177.250,00 €
29/02/2024;567;BOGOTA;141.750,00 €
23/03/2024;834;ARMENIA;208.500,00 €
29/06/2024;598;SANTANDER;149.500,00 €
17/01/2024;413;CUCUTA;103.250,00 €
09/06/2024;718;NARIÑO;179.500,00 €
31/03/2024;427;PUTUMUYO;106.750,00 €
29/02/2024;358;BOGOTA;89.500,00 €
30/05/2024;804;IBAGUE;201.000,00 €
15/04/2024;855;PEREIRA;213.750,00 €
20/08/2024;208;MANIZALES;52.000,00 €
21/07/2024;146;ARMENIA;36.500,00 €
17/07/2024;939;ALEMANIA;234.750,00 €
08/03/2024;407;SUIZA;101.750,00 €
13/03/2024;918;ESPAÑA;229.500,00 €
07/03/2024;710;CALI;177.500,00 €
13/02/2024;16;BARRANQUILLA;4.000,00 €
23/07/2024;906;SAN ANDRES;226.500,00 €
24/08/2024;193;BOGOTA;48.250,00 €
25/02/2024;433;ARMENIA;108.250,00 €
14/06/2024;726;SANTANDER;181.500,00 €
02/06/2024;15;CUCUTA;3.750,00 €
29/02/2024;430;NARIÑO;107.500,00 €
27/01/2024;979;PUTUMUYO;244.750,00 €
30/07/2024;998;BOGOTA;249.500,00 €
12/05/2024;398;IBAGUE;99.500,00 €
17/06/2024;323;PEREIRA;80.750,00 €
10/02/2024;964;MANIZALES;241.000,00 €
24/05/2024;500;ARMENIA;125.000,00 €
27/06/2024;331;ALEMANIA;82.750,00 €
18/05/2024;462;SUIZA;115.500,00 €
03/08/2024;706;ESPAÑA;176.500,00 €
07/06/2024;503;CALI;125.750,00 €
22/03/2024;456;BARRANQUILLA;114.000,00 €
08/02/2024;673;SAN ANDRES;168.250,00 €
30/07/2024;334;BOGOTA;83.500,00 €
29/04/2024;48;ARMENIA;12.000,00 €
11/05/2024;844;SANTANDER;211.000,00 €
29/03/2024;693;CUCUTA;173.250,00 €
29/01/2024;759;NARIÑO;189.750,00 €
02/01/2024;610;PUTUMUYO;152.500,00 €
10/04/2024;590;BOGOTA;147.500,00 €
10/03/2024;730;IBAGUE;182.500,00 €
14/05/2024;962;PEREIRA;240.500,00 €
16/02/2024;265;MANIZALES;66.250,00 €
10/06/2024;294;ARMENIA;73.500,00 €
09/05/2024;50;ALEMANIA;12.500,00 €
27/03/2024;189;SUIZA;47.250,00 €
10/07/2024;371;ESPAÑA;92.750,00 €
06/08/2024;801;CALI;200.250,00 €
05/01/2024;862;BARRANQUILLA;215.500,00 €
20/07/2024;231;SAN ANDRES;57.750,00 €
04/05/2024;45;BOGOTA;11.250,00 €
08/06/2024;239;ARMENIA;59.750,00 €
20/05/2024;685;SANTANDER;171.250,00 €
15/05/2024;835;CUCUTA;208.750,00 €
01/04/2024;252;NARIÑO;63.000,00 €
07/06/2024;583;PUTUMUYO;145.750,00 €
17/03/2024;417;BOGOTA;104.250,00 €
24/04/2024;632;IBAGUE;158.000,00 €
13/08/2024;203;PEREIRA;50.750,00 €
21/07/2024;128;MANIZALES;32.000,00 €
07/05/2024;495;ARMENIA;123.750,00 €
29/04/2024;740;ALEMANIA;185.000,00 €
14/06/2024;79;SUIZA;19.750,00 €
23/05/2024;509;ESPAÑA;127.250,00 €
12/02/2024;380;CALI;95.000,00 €
21/07/2024;146;BARRANQUILLA;36.500,00 €
05/05/2024;790;SAN ANDRES;197.500,00 €
09/04/2024;486;BOGOTA;121.500,00 €
21/06/2024;784;ARMENIA;196.000,00 €
06/01/2024;395;SANTANDER;98.750,00 €
26/08/2024;158;CUCUTA;39.500,00 €
03/06/2024;75;NARIÑO;18.750,00 €
24/07/2024;936;PUTUMUYO;234.000,00 €
18/06/2024;439;BOGOTA;109.750,00 €
12/04/2024;429;IBAGUE;107.250,00 €
20/01/2024;898;PEREIRA;224.500,00 €
20/01/2024;91;MANIZALES;22.750,00 €
24/02/2024;703;ARMENIA;175.750,00 €
06/05/2024;876;ALEMANIA;219.000,00 €
23/07/2024;818;SUIZA;204.500,00 €
17/05/2024;418;ESPAÑA;104.500,00 €
14/05/2024;18;CALI;4.500,00 €
11/02/2024;202;BARRANQUILLA;50.500,00 €
22/01/2024;139;SAN ANDRES;34.750,00 €
18/02/2024;651;BOGOTA;162.750,00 €
18/04/2024;359;ARMENIA;89.750,00 €
26/01/2024;884;SANTANDER;221.000,00 €
28/01/2024;559;CUCUTA;139.750,00 €
15/02/2024;139;NARIÑO;34.750,00 €
25/01/2024;960;PUTUMUYO;240.000,00 €
05/08/2024;225;BOGOTA;56.250,00 €
19/06/2024;481;IBAGUE;120.250,00 €
18/08/2024;562;PEREIRA;140.500,00 €
11/02/2024;903;MANIZALES;225.750,00 €
30/01/2024;203;ARMENIA;50.750,00 €
